id,type,latitude,longitude,shop_type,name,address,street,city,postcode
10686767233,node,53.2943705,-6.1411368,tattoo,Subs Tattoo Studio,"17, George's Street Lower, Dún Laoghaire, A96 EV96",George's Street Lower,Dún Laoghaire,A96 EV96
10688041695,node,53.3244099,-6.3405432,car,Windsor Certified Car Outlet,"Long Mile Road, Dublin",Long Mile Road,Dublin,
10690493054,node,53.5242899,-6.1740749,hairdresser,Between Cuts,"Dun Emer Avenue, Lusk",Dun Emer Avenue,Lusk,
10690797815,node,54.791053,-6.3964242,rental,CMC Marquee Hire,"12, Taylorstown Hill, Toomebridge, BT41 3RL",Taylorstown Hill,Toomebridge,BT41 3RL
10692812933,node,53.3314638,-6.2632759,convenience,Tesco Express,"Charlemont Square, Dublin",Charlemont Square,Dublin,
10692838902,node,53.3014578,-6.1776709,açaí,Oakberry,"17, Main Street, Blackrock",Main Street,Blackrock,
10692974811,node,53.3626924,-6.2731375,clothes,Kate's Atelier,,,,
10693072785,node,53.3794927,-6.2660887,hairdresser,Iris,,,,
10694923853,node,53.277018,-6.1431657,bookmaker,Ladbrokes,Sallynoggin Road,Sallynoggin Road,,
10694999152,node,53.2864784,-9.0441012,car,Sheils Motor Group,,,,
10695303676,node,53.4213297,-7.9350404,shoes,Paul Byron Shoes,,,,
10695303678,node,53.4212397,-7.9349854,e-cigarette,The eCig Store,,,,
10695303679,node,53.4212345,-7.9349063,clothes,The Clothes Line,,,,
10695464347,node,55.1970953,-6.6572486,antiques,Atlantic Antiques,,,,
10695879178,node,53.2731506,-7.4845617,convenience,Kelly's,,,,
10695879188,node,53.2733944,-7.484463,mobile_phone,King Technologies,,,,
10695879189,node,53.2735372,-7.484683,clothes,Laura Grey Boutique,,,,
10696822989,node,53.7997616,-9.5222284,sports,Intersport Elverys,"Bridge Street, Westport",Bridge Street,Westport,
10696838386,node,53.798499,-9.5229011,vacant,Unknown,,,,
10696840385,node,53.5203277,-9.0883943,hairdresser,Unknown,,,,
10696840386,node,53.7998789,-9.5221332,clothes,Seasalt Cornwall,,,,
10696840624,node,53.7996085,-9.5227246,clothes,Curiosity,,,,
10696840765,node,53.7991518,-9.5226705,hairdresser,Petals,,,,
10696842494,node,53.7996824,-9.5219671,hairdresser,Dino's Barber,,,,
10696843593,node,53.8000645,-9.5219843,hairdresser,The Beauty Rooms,,,,
10696844329,node,53.8002744,-9.5218333,clothes,Wild Atlantic Wear,,,,
10696844523,node,53.7995699,-9.5220417,bookmaker,BoyleSports,"Bridge Street, Westport",Bridge Street,Westport,
10696846283,node,53.7988366,-9.5226071,clothes,John O'Brien,,,,
10696846420,node,53.799994,-9.522042,shoes,Shu-it,,,,
10696847828,node,53.7993236,-9.5225593,clothes,Teddy's Fashions,,,,
10696848002,node,53.8000279,-9.5219942,vacant,Unknown,,,,
10696848133,node,53.8002383,-9.5218499,gift,Print Addiction,,,,
10696849524,node,53.7988974,-9.522907,gift,Harvest Breeze Westport,,,,
10696849706,node,53.7999448,-9.5220971,clothes,The Dressing Room Westport,,,,
10696851793,node,53.7996841,-9.5222951,gift,Market 57,,,,
10696851822,node,53.7990838,-9.5227424,deli,Kate McCormack & Sons,,,,
10696862670,node,53.7992028,-9.5223499,clothes,Carraig Donn,,,,
10696865480,node,53.7994344,-9.5221136,mobile_phone,Vodafone,"Bridge Street, Westport",Bridge Street,Westport,
10696875388,node,53.799409,-9.5221738,outdoor,Call of the Wild,,,,
10696877964,node,53.7990156,-9.5216943,hairdresser,McKenna's,,,,
10696879244,node,53.7988108,-9.5226423,vacant,Unknown,,,,
10696880818,node,53.7991034,-9.5224247,gift,Westport Design,,,,
10696886037,node,53.7987883,-9.5226671,antiques,Treasure Trove,,,,
10696892286,node,53.7988681,-9.5226031,confectionery,Aunty Nellie's Sweet shop,,,,
10696894979,node,53.7989628,-9.522532,jewelry,Murtagh,,,,
10698092294,node,53.4222986,-7.9347586,hearing_aids,Hidden Hearing,"John Broderick Street, Athlone",John Broderick Street,Athlone,
10698092296,node,53.4221463,-7.9348294,dry_cleaning,Shannon Dry Cleaners,,,,
10698393456,node,53.52474,-6.1660907,car_repair,North County Garage,"Dublin Road, Lusk",Dublin Road,Lusk,
10699136350,node,53.7983703,-9.5218259,butcher,S. Hawshaw,,,,
10699136634,node,53.7984009,-9.5216623,funeral_directors,Navin's Funeral Home,,,,
10699156001,node,53.7982899,-9.5223236,hairdresser,Laura's Hair,,,,
10699162910,node,53.7986525,-9.5212833,hairdresser,Hair by Carroll Roche,,,,
10699163205,node,53.7982321,-9.5226074,bookmaker,Paddy Power,"Mill Street, Westport",Mill Street,Westport,
10699480276,node,53.9749107,-10.1266882,convenience,Dooagh Shop,,,,
10700072106,node,53.7991131,-9.5263322,pet_grooming,Westport Dog Grooming,,,,
10701622732,node,53.8037888,-9.4902441,carpet,AOMalley,,,,
10701627784,node,53.7994694,-9.5172712,convenience,Centra,"Distillery Road, Westport",Distillery Road,Westport,
10701695749,node,53.8553809,-9.2871055,doityourself,Albany,,,,
10701759858,node,53.9441522,-8.9505315,hairdresser,Gruaig,,,,
10701769691,node,53.8539832,-9.3029223,variety_store,Mr. Price,,,,
10701778251,node,53.9440857,-8.9503891,hairdresser,Wavelength,,,,
10701796605,node,53.9641786,-8.7948811,butcher,Byrnes Meat Market,,,,
10702002712,node,53.6330239,-8.1866581,hairdresser,Regina's Hair studio,,,,
10702009807,node,53.6409,-8.2058651,furniture,Gannon's Furniture,,,,
10702029181,node,53.4280132,-7.9607632,hairdresser,Unknown,,,,
10702045188,node,53.6299312,-8.1864536,supermarket,Ahmed Superstore,,,,
10702132113,node,53.3953521,-7.7195928,beauty,Laura's,,,,
10702293086,node,53.4215489,-7.927748,hairdresser,Fashion Lady,,,,
10702354495,node,53.0336971,-7.294772,supermarket,Polonez,,,,
10702363772,node,53.2719493,-7.4942585,hairdresser,Bespoke Barbers,,,,
10702385458,node,53.2709524,-7.4926588,bookmaker,Unknown,,,,
10702385694,node,53.4223781,-7.9295032,beauty,Catriona's,,,,
10702385979,node,53.1170342,-7.3258942,pet,Countrylife,,,,
10702385980,node,53.0318567,-7.2525534,garden_centre,Laois Garden World,,,,
10702388000,node,53.4218837,-7.9284405,laundry,Athlone Laundry,,,,
10702558718,node,53.8626138,-7.2069686,laundry,Ace Laundrette,,,,
10703077717,node,53.2668725,-7.4679715,sports,Sports Direct,,,,
10703077718,node,53.2665725,-7.4681995,garden_centre;interior_decoration;pet;toys,Homesavers,"Portarlington Road, Tullamore",Portarlington Road,Tullamore,
10703077719,node,53.2678398,-7.4701441,furniture,EZ Living Furniture,,,,
10703077729,node,53.2668484,-7.4691463,furniture,Minogue Furniture,,,,
10706706913,node,53.2790241,-6.1569617,car,Kill-O-Grange Motors,,,,
10706839769,node,54.5802803,-5.9669648,shoes,Shoe Zone,"Boucher Crescent, Belfast",Boucher Crescent,Belfast,
10706845158,node,54.5813731,-5.9657283,gift,Card Factory,"Boucher Crescent, Belfast",Boucher Crescent,Belfast,
10706977812,node,53.4266138,-7.9608528,laundry,Unknown,,,,
10706989478,node,53.4237269,-7.9677347,car,Center Point Autos,N37 PD88,,,N37 PD88
10713263979,node,54.6593616,-8.111557,doityourself,Donegal Town Hardware & DIY,"Drumrooske Business Park, Donegal Town, F94 NH92",Drumrooske Business Park,Donegal Town,F94 NH92
10713263980,node,54.6589096,-8.1113726,tyres,G. Quigley Tyres,"Drumrooske Business Park, Donegal Town, F94 NP5K",Drumrooske Business Park,Donegal Town,F94 NP5K
10713263981,node,54.6587539,-8.1112204,furniture,Stockhouse Interiors,"Drumrooske Business Park, Donegal Town",Drumrooske Business Park,Donegal Town,
10713263982,node,54.6591145,-8.1108634,toys,Proper Price Toymaster,"Drumrooske Business Park, Donegal Town, F94 AEA4",Drumrooske Business Park,Donegal Town,F94 AEA4
10713263984,node,54.6589757,-8.1106614,carpet,Keown Carpet & Flooring,"Drumrooske Business Park, Donegal Town",Drumrooske Business Park,Donegal Town,
10717461494,node,53.139002,-8.9409453,vacant,Unknown,"Main Street, Kinvarra",Main Street,Kinvarra,
10717472919,node,53.1389794,-8.9392546,frame,The Framer,,,,
10717478050,node,53.291546,-6.1373046,vacant,Unknown,,,,
10717595656,node,53.2950051,-6.1429912,vacant,Unknown,,,,
10720146872,node,53.5270487,-6.1662745,mobile_phone,Unknown,"Main Street, Lusk",Main Street,Lusk,
10720146880,node,53.5272771,-6.1662342,convenience,Costcutter,"Main Street, Lusk",Main Street,Lusk,
10720146882,node,53.5272169,-6.1662235,butcher,Howley's Butcher,"Main Street, Lusk",Main Street,Lusk,
10720951970,node,53.5277388,-6.1667341,chemist,Gaynor's Allcare Pharmacy,"Main Street, Lusk",Main Street,Lusk,
10723926495,node,53.2925857,-6.1353104,mobile_phone,Eir,,,,
10726192316,node,53.4017663,-6.1782093,clothes,Pep&Co,,,,
10731215528,node,53.577025,-6.1056672,hairdresser,Golden Cut,"Strand Street, Skerries",Strand Street,Skerries,
10736705861,node,53.4472482,-6.2238407,furniture,Michael Murphy,,,,
10736705862,node,53.4472878,-6.2236724,electronics,Currys,,,,
10739598603,node,54.0419602,-6.1873357,bicycle,Ebike Escapes,,,,
10741552687,node,54.5920445,-5.706019,convenience,Spar,,,,
10741563012,node,54.040302,-6.1864987,beauty,Finca,,,,
10741806320,node,54.0881688,-6.2577103,hairdresser,Aisling's Hair Design,,,,
10751066166,node,53.2954198,-6.3420758,hairdresser,Dk Barbers Tallaght,"Unit 7, Castletymon Shopping Center, Tallaght, D24 WE5V",Castletymon Shopping Center,Tallaght,D24 WE5V
10751066168,node,53.2954933,-6.3421495,hairdresser,Castle Hair And Beauty,,,,
10751722468,node,53.4557629,-6.154362,pet_grooming,Hair of the Dog,,,,
10751845049,node,53.4556832,-6.1541376,laundry,White's,,,,
10767240805,node,54.2417646,-5.9282353,computer,Unknown,,,,
10767240806,node,54.2418043,-5.9281578,pet_grooming,Unknown,,,,
10777384098,node,53.2748939,-9.0533193,hairdresser,Julie's Hair Design,"13, Saint Francis Street, Galway",Saint Francis Street,Galway,
10777607070,node,53.3416267,-6.2630665,beauty,Wax in the City,"William Street South, Dublin",William Street South,Dublin,
10777607071,node,53.3416419,-6.2631229,hairdresser,New Hair Order,"William Street South, Dublin",William Street South,Dublin,
10777643647,node,54.4600666,-6.325652,hairdresser,Unknown,,,,
10777643648,node,54.460129,-6.3255984,clothes,Unknown,,,,
10778022385,node,54.2614274,-5.9260153,tyres,T Greenan Tyres and Alloy Wheels,,,,
10781946180,node,53.5772797,-7.773782,car_repair,Unknown,,,,
10791160806,node,53.3153835,-6.3338696,car,LPC Motors,Greenhills Road,Greenhills Road,,
10792914804,node,53.3276758,-6.3079595,charity,NCBI,,,,
10792915985,node,53.3233588,-6.3374499,tiles,House of Tiles,,,,
10792915986,node,53.3230758,-6.3451646,car,Renault Trucks,,,,
10793574605,node,53.2714697,-9.0536803,gift,Carrolls Irish Gifts,,,,
10795888930,node,53.4274263,-9.3261802,yes,Unknown,,,,
10795888931,node,53.4274175,-9.3262553,yes,Unknown,,,,
10795888932,node,53.4274463,-9.3260421,convenience,Day-Today,,,,
10799569215,node,53.3467163,-6.3428337,car_repair,Paul Kelly Autobody Repair,,,,
10799569662,node,53.3474723,-6.3437527,bed,Tex Style,,,,
10799574332,node,53.3474315,-6.3440779,computer,Camara Education,,,,
10799581662,node,53.3471456,-6.3424415,furniture,Williams Furniture Manufacturing,,,,
10799586528,node,53.3479955,-6.3437607,fuel,Fuelling Technology,,,,
10799590610,node,53.2730135,-9.0517899,clothes,The Sweater Shop,,,,
10811657347,node,54.1155163,-6.7328907,convenience,Londis,"Dublin Road, Castleblayney",Dublin Road,Castleblayney,
10811675873,node,54.210054,-6.4002689,car,Jeff Irwin Car Sales,"48, Maytown Road, Newry, BT35 7NE",Maytown Road,Newry,BT35 7NE
10816257527,node,54.1788396,-6.3380789,clothes,Sinead's of Newry,"Canal Street, Newry",Canal Street,Newry,
10816257529,node,54.1789824,-6.3382013,bookmaker,Boyle Bookmakers,,,,
10816730066,node,53.1384284,-8.9381508,hairdresser,A Touch of Class,,,,
10822778397,node,54.4579816,-5.4407778,yes,Unknown,,,,
10822783910,node,54.3066983,-6.2012109,convenience,Unknown,,,,
10822825626,node,54.6632654,-5.6600712,convenience,Unknown,,,,
10822834135,node,54.6598469,-5.6900382,convenience,Unknown,,,,
10827592428,node,54.1754534,-6.3370324,laundry,Unknown,,,,
10830359605,node,53.3277646,-9.7332162,car_parts,Kilkieran Service Station,,,,
10845931853,node,53.9907254,-7.3601813,hearing_aids,Hidden Hearing,,,,
10845931859,node,53.9904839,-7.3595722,hairdresser,D Barbers,,,,
10852816498,node,53.2951531,-8.9920043,car,Connolly's Audi,"Briarhill Business Park, Galway, H91 Y6WA",Briarhill Business Park,Galway,H91 Y6WA
10852816499,node,53.2939733,-8.985233,car,Connolly's Mercedes-Benz,"Briarhill Business Park, Galway, H91 EA06",Briarhill Business Park,Galway,H91 EA06
10852816500,node,53.2930844,-8.9907605,car,The Car Centre,"Briarhill Business Park, Galway, H91 HO29",Briarhill Business Park,Galway,H91 HO29
10852816501,node,53.2925999,-8.9854456,car,Western Motors,"Briarhill Business Park, Galway, H91 HH51",Briarhill Business Park,Galway,H91 HH51
10852816503,node,53.2898116,-9.0087727,car,Connolly's Hyundai,"Ballybrit Business Park, Galway, H91 XW13",Ballybrit Business Park,Galway,H91 XW13
10852816504,node,53.2900752,-9.0079493,car,Tony Burke Motors,Galway,,Galway,
10853415883,node,53.380945,-6.5905976,electrical,Three Pin Electrical,,,,
10853450182,node,53.3512335,-6.5470025,funeral_directors,Celbridge Funeral Home,Celbridge,,Celbridge,
10853815066,node,53.3824883,-6.5950792,beauty,Absolute Beauty by Sarah,,,,
10856440418,node,54.4767581,-5.6923892,farm,Finlay's Place,Comber Road,Comber Road,,
10857705947,node,53.2720515,-9.0505892,hairdresser,Pixie,"Merchants Road, Galway, H91 W63V",Merchants Road,Galway,H91 W63V
10857705948,node,53.2719645,-9.0507403,clothes,Louis Copeland and Sons,"Merchants Road, Galway",Merchants Road,Galway,
10859102024,node,53.3488941,-6.5508965,convenience,Gala,,,,
10860553333,node,55.2636263,-7.4149821,butcher,Clonmany,,,,
10860553367,node,55.2635661,-7.4147375,yes,Unknown,,,,
10862268695,node,53.273479,-9.098198,outdoor,Regatta Great Outdoors,"Western Distributor Road, Galway",Western Distributor Road,Galway,
10863826366,node,53.8636474,-7.2066168,bookmaker,JL Finnegan Betting Office,,,,
10872932142,node,54.1873926,-6.3116,caravan,Unknown,,,,
10875228529,node,53.2199268,-7.4746391,tyres,Unknown,,,,
10875508247,node,53.6273596,-8.1840329,car,Der.ot Hughes Cars,,,,
10878774324,node,54.1770557,-6.3357501,hearing_aids,Blueberry,,,,
10879122028,node,54.2466697,-6.970551,clothes,Jack & Jones,,,,
10879122029,node,54.2463841,-6.9696128,variety_store,EuroGiant,,,,
10879122030,node,54.2463616,-6.9698048,optician,Specsavers,,,,
10879122031,node,54.2464753,-6.9698046,mobile_phone,Hugmie,,,,
10879122032,node,54.2465286,-6.9696293,clothes,Paco,,,,
10879122033,node,54.2467311,-6.9695211,sports,Life Style Sports,,,,
10879122034,node,54.2467398,-6.9696516,mobile_phone,Vodafone,,,,
10879140784,node,54.2464645,-6.9696276,books,Bookstation,,,,
10879173695,node,53.6840601,-7.5832501,car_repair,Kanes,,,,
10879181412,node,53.7163574,-7.7383056,hardware,Unknown,,,,
10879254813,node,53.2267463,-7.4751294,kitchen,Unknown,,,,
10886964708,node,53.2850609,-9.0446866,convenience,Unknown,,,,
10886964709,node,53.7193582,-8.9977234,convenience,Poland Clare,,,,
10890153528,node,54.1008613,-6.2547341,pet,Pointer Paws,"1, The Square, Warrenpoint, BT34 3LY",The Square,Warrenpoint,BT34 3LY
10890153536,node,54.101086,-6.2537023,chemist,Gordons,"Church Street, Warrenpoint",Church Street,Warrenpoint,
10890153537,node,54.1012181,-6.2539933,hairdresser,F&N,"Church Street, Warrenpoint",Church Street,Warrenpoint,
10890424296,node,54.101351,-6.255439,hairdresser,Cool Cutz,"The Square, Warrenpoint",The Square,Warrenpoint,
10890424297,node,54.1011512,-6.2556992,vacant,Unknown,"The Square, Warrenpoint",The Square,Warrenpoint,
10890491869,node,54.1054878,-6.268679,flooring,Wood Innovations,"Newry Road, Warrenpoint",Newry Road,Warrenpoint,
10890491877,node,54.1062757,-6.2698524,laundry,Revolution Laundry,"Newry Road, Warrenpoint",Newry Road,Warrenpoint,
10890491881,node,54.1058582,-6.2709568,tyres,A2 Tyres,"Warrenpoint Enterprise Centre, Warrenpoint",Warrenpoint Enterprise Centre,Warrenpoint,
10891246079,node,53.3436662,-6.5418166,florist,Unknown,,,,
10891344542,node,54.1050701,-6.2675796,carpet,Mourne Carpets,"Newry Road, Warrenpoint",Newry Road,Warrenpoint,
