Official School Name,Latitude,Longitude,Enrollment
ADAMSTOWN COMMUNITY COLLEGE,53.336533,-6.46229,953
Coláiste Pobail Setanta,53.397775,-6.435089,1051
Coláiste Chill Mhantáin,52.985206,-6.066093,911
GAELCHOLÁISTE LUIMNIGH,52.666674,-8.61991,623
Coláiste an Eachréidh,53.301343,-8.747339,236
Colaiste na hInse,53.692703,-6.245342,1112
Donabate Community College,53.490088,-6.144229,810
Banagher College,53.186848,-7.986564,579
Gaelcholáiste na Mara,52.801166,-6.166386,288
COLÁISTE EOGHAIN,55.144044,-7.452633,11
Creagh College,52.675621,-6.314232,1048
Ardgillan Community College,53.60066,-6.180521,1002
Luttrellstown Community College,53.375205,-6.409025,981
Coláiste Pobail Acla,53.9324,-9.914239,236
Kishoge Community College,53.33626,-6.425736,905
Coláiste na Mí,53.643121,-6.650941,806
Maynooth Community College,53.394861,-6.596769,872
Naas Community College,53.231887,-6.676426,816
Coláiste Chú Chulainn,54.00068,-6.395442,857
DE LACY COLLEGE,53.511564,-6.41523,835
Lusk Community College,53.530307,-6.157305,986
Coláiste Bhaile Chláir,53.335133,-8.936564,1277
Gaelcholáiste Charraig Ui Leighin,51.826142,-8.401942,255
Kingswood Community College,53.306402,-6.372086,982
Coláiste Dún an Rí,53.909342,-6.804416,703
Carrigtwohill Post Primary,51.910625,-8.294467,755
St Joseph's Community College,53.960292,-8.801406,199
Clonturk College,53.379449,-6.24827,909
Thomond Community College,52.678362,-8.649056,612
Griffeen Community College,53.33626,-6.425736,417
Dunamase College (Coláiste Dhún Másc),53.035004,-7.299025,554
Swords Community College,53.466374,-6.249013,894
Mungret Community College,52.630991,-8.6811,880
Coláiste Naomh Eoin,53.087299,-9.589039,41
Gaelcholáiste Mhaigh Nuad,53.3818,-6.593653,123
Eriu Community College,53.389532,-6.445715,161
Coláiste pobail Fóla,53.284093,-6.437865,545
Enfield Community College,53.414312,-6.82875,412
Greystones Community College,53.132472,-6.067851,449
Coláiste Rioga,53.504275,-6.535983,112
Newpark Comprehensive School,53.2895,-6.172989,857
Mount Temple Comprehensive School,53.368676,-6.2227,915
St Aidans Comprehensive School,54.066459,-7.063483,604
Tarbert Comprehensive School,52.57438,-9.383804,529
Shannon Comprehensive School,52.704817,-8.879649,730
Ashton School,51.892859,-8.451549,543
Boherbue Comprehensive School,52.159134,-9.062485,467
St Columba's Comprehensive School,54.799569,-8.286059,378
The Royal and Prior School,54.876057,-7.590291,603
Scoil Chuimsitheach Chiaráin,53.262239,-9.597819,416
St. Clare's Comprehensive School,54.301921,-8.176972,499
Crescent College Comprehensive,52.636658,-8.640832,937
East Glendalough School,52.987518,-6.054106,364
TRINITY COMPREHENSIVE SCHOOL,53.392674,-6.262844,561
Holy Family Community School,53.276821,-6.48002,985
Phobailscoil Iosolde,53.348466,-6.376923,780
Ballinteer Community School,53.281462,-6.260787,401
Cabinteely Community School,53.261948,-6.146265,542
Scoil Phobail Chuil Mhin,53.388738,-6.395717,981
Blakestown Community School,53.396041,-6.403421,484
The Donahies Community School,53.393133,-6.173129,469
Portmarnock Community School,53.431642,-6.13778,966
Malahide Community School,53.438241,-6.152502,1244
Holy Child Community School,53.275958,-6.13652,259
St Marks Community School,53.291399,-6.388908,901
Tallaght Community School,53.294723,-6.338556,804
Old Bawn Community School,53.283461,-6.370716,1001
Killinarden Community School,53.276085,-6.397344,480
St Aidan's Community School,53.286602,-6.412535,484
Hartstown Community School,53.396127,-6.416117,1106
Pobalscoil Neasáin,53.39202,-6.131134,787
St. Tiernan's Community School,53.281577,-6.238968,351
Rosmini Community School,53.3710532463502,-6.24921140785509,82
Bailieborough Community School,53.91291,-6.973901,742
Tullow Community School,52.79949,-6.732313,861
Community School,52.803681,-7.215683,613
Coláiste Chiaráin,53.363893,-6.499258,588
Scoil Mhuire Community School,53.292361,-6.697707,1180
St. Kilian's Community School,53.185307,-6.126782,395
Ballincollig Community School,51.890422,-8.601877,961
Beara Community School,51.647648,-9.913597,311
Carrigaline Community School,51.817746,-8.386747,1068
Millstreet Community School,52.062318,-9.068962,406
St Peter's Community School,51.865672,-8.34,358
Douglas Community School,51.878692,-8.442352,554
Bishopstown Community School,51.883922,-8.525918,338
Mayfield Community School,51.912519,-8.443577,363
Carndonagh Community School,55.249388,-7.269903,1153
Rosses Community School,54.949386,-8.352065,495
Pobalscoil Chloich Cheannfhaola,55.141775,-8.099667,400
Pobalscoil Ghaoth Dobhair,55.096595,-8.278584,451
Scoil Phobail Mhic Dara,53.323951,-9.817824,133
Scoil Phobail,53.478338,-10.021602,501
Portumna Community School,53.094028,-8.220156,476
Dunmore Community School,53.616552,-8.739242,330
Mountmellick Community School,53.118052,-7.327569,692
Heywood Community School,52.885468,-7.299465,734
Ramsgrange Community School,52.245441,-6.916186,626
Moyne Community School,53.908349,-7.648053,613
Ardee Community School,53.851182,-6.546288,1276
St Caimin's Community School,52.705903,-8.861798,770
Kilrush Community School,52.642212,-9.483481,364
St Ciaran's Community School,53.724117,-6.871648,592
Ballyhaunis Community School,53.765924,-8.780564,741
Ballinrobe Community School,53.623001,-9.212632,825
St.Brendan's Community School,53.105122,-7.916417,838
Gorey Community School,52.673807,-6.287413,1526
Castlerea Community School,53.765708,-8.483508,365
St Louis Community School,53.848385,-9.002219,679
Ashbourne Community School,53.504128,-6.388211,1099
Community School,53.949048,-8.08521,694
Cashel Community School,52.518963,-7.88187,902
Gort Community School,53.061368,-8.811457,984
Kinsale Community School,51.704278,-8.529486,1465
Loreto Community School,55.088939,-7.709004,820
Moate Community School,53.396586,-7.726092,901
John The Baptist Community School,52.473442,-8.434793,1041
Pobalscoil Inbhear Scéine,51.882727,-9.582428,632
Scoil Phobail Sliabh Luachra,52.079005,-9.246563,422
St Wolstan's Community School,53.333965,-6.561938,788
Coláiste Cholmcille,54.503244,-8.184289,667
Boyne Community School,53.550641,-6.784265,972
BLACKWATER COMMUNITY SCHOOL,52.135118,-7.94027,950
St. Colmcille's Community School,53.278686,-6.314793,723
Pobalscoil Chorca Dhuibhne,52.143273,-10.267232,419
St Attracta's Community School,54.053447,-8.760026,687
Pobalscoil na Tríonóide,51.951408,-7.873294,1112
GLENAMADDY COMMUNITY SCHOOL,53.607446,-8.565855,387
GALLEN COMMUNITY SCHOOL,53.269466,-7.829971,435
SKIBBEREEN COMMUNITY SCHOOL,51.551871,-9.255274,941
ATHBOY COMMUNITY SCHOOL,53.626069,-6.913856,613
ENNISTYMON COMMUNITY SCHOOL,52.938854,-9.298656,680
BALLINAMORE COMMUNITY SCHOOL,54.058382,-7.792269,320
KILDARE TOWN COMMUNITY SCHOOL,53.169755,-6.914606,988
MOUNTRATH COMMUNITY SCHOOL,52.995616,-7.483114,783
Ballymakenny College,53.73113,-6.344649,1004
Celbridge Community School,53.359262,-6.549406,713

