Official School Name,Latitude,Longitude,Enrollment
Woodbrook College,53.215465,-6.120841,588
Presentation College,53.192311,-6.10265,632
St. Gerard's School,53.203227,-6.135285,612
Loreto Secondary School,53.196841,-6.106508,718
St David's Holy Faith Secondary,53.146468,-6.061422,753
Dominican College,52.977633,-6.039499,494
Rice College,52.847824,-8.979532,668
St Flannan's College,52.834077,-8.983918,1200
Coláiste Mhuire,52.846989,-8.985466,988
Mary Immaculate Secondary School,53.030582,-9.290651,331
St. Joseph's Secondary School,52.846791,-9.431686,422
St. Joseph's Secondary School Tulla,52.863189,-8.761525,729
Árdscoil Uí Urmoltaigh,51.747025,-8.74419,432
Bandon Grammar School,51.733604,-8.749395,730
Coláiste na Toirbhirte,51.740349,-8.731608,434
Scoil Mhuire gan Smal,51.932175,-8.560099,1003
Coláiste an Chroí Naofa,51.984619,-8.46989,467
St Aloysius College,51.910097,-8.259483,802
Sacred Heart Secondary School,51.626678,-8.880432,538
Coláiste Muire,51.854829,-8.293889,705
Colaiste Muire,51.801273,-8.298159,501
Nagle Rice Secondary School,52.221611,-8.583764,244
Coláiste Cholmáin,52.136289,-8.278383,676
Loreto Secondary School,52.135868,-8.276883,708
Scoil Mhuire,52.178227,-8.911621,289
Colaiste An Phiarsaigh,51.918094,-8.398871,567
De La Salle College,51.906649,-8.965275,440
St Mary'S Secondary School,51.903789,-8.958164,407
Patrician Academy,52.139656,-8.644905,556
St Mary's Secondary School,52.141366,-8.641332,750
Christian Brothers Secondary School,51.907227,-8.170279,940
Midleton College,51.915357,-8.16942,474
St Mary's High School,51.908303,-8.169494,767
Christian Brothers Secondary School,52.26376,-8.266675,409
Presentation Secondary School,52.265413,-8.265304,335
Scoil na mBráithre Chríostaí,52.354522,-8.679234,258
St. Mary's Secondary School,52.355069,-8.686838,283
St Francis Capuchin College,51.869229,-8.376033,792
Mount St Michael,51.583034,-9.02573,381
Christian Brothers College,51.903624,-8.467765,917
North Monastery Secondary School,51.908002,-8.480606,291
Gaelcholáiste Mhuire,51.909225,-8.480668,694
Coláiste Éamann Rís,51.890029,-8.473751,718
Coláiste Chríost Rí,51.889626,-8.464471,524
Presentation Brothers College,51.897594,-8.485035,704
Coláiste an Spioraid Naoimh,51.882981,-8.517577,713
St Vincent's Secondary School,51.906567,-8.478386,233
Nano Nagle College,51.91201,-8.485558,119
St Aloysius School,51.895678,-8.482248,301
