School Name,Latitude,Longitude,Enrollment
THOMASTOWN N S,52.493703,-8.021769,117
BRACKLOON N S,53.75475,-9.564212,159
ROOSKEY N S,53.832638,-7.927501,148
CLOONACOOL N S,54.099034,-8.781441,97
SCOIL AN AINGIL CHOIMHEADAI,54.997504,-8.418846,20
CRATLOE N S,52.6993,-8.755464,311
BALLYHASS MIXED N S,52.174145,-8.804729,233
Scoil na Croi Naofa,53.384176,-6.274334,419
KELLS PAROCHIAL N S,53.724674,-6.867192,64
S N BAILE MUIRNE,52.441087,-6.474657,111
S N AN LEANA MOR,53.622309,-7.633075,72
LEHINCH N S,53.659596,-9.074936,9
NEW INN B N S,52.442664,-7.881611,59
SCOIL NAOMH CHOLMCILLE,55.265009,-8.224557,22
S N MICHIL NAOFA,53.941046,-8.166037,39
COMHSCOIL CHONMHA S N,54.859947,-7.665803,99
O CALLAGHANS MILLS N S,52.840445,-8.672183,42
PRESENTATION CONVENT,51.748821,-8.743925,196
Tahilla Community National School,51.833722,-9.822395,27
LARAGH N S,51.757896,-8.789979,192
SCOIL NAOIMH EANNA,53.95927,-6.649256,213
ST COLUMBAS N.S,51.873569,-8.443765,364
CASTLEPOLLARD MIXED N S,53.681555,-7.296149,160
SN BAILE MHIC AIRT,52.006751,-7.639926,66
TRAFRASK MIXED N S,51.687246,-9.664859,23
CLOCHAR SAN DOMINIC,53.292207,-6.138064,171
BAILIEBORO MODEL N S,53.917078,-6.974455,94
Scoil Mhichil na Buachailli,53.5513,-6.7918520000000004,283
DUNMANWAY MODEL N S,51.716871,-9.115922,98
S N AN GHOILIN,51.492536,-9.7134,33
S N CREACHMHAOIL,53.236432,-8.750525,329
BURRISCARRA N S,53.729007,-9.220588,13
St. Anne's National School,53.388865,-7.375722,148
CHURCH HILL MIXED N S,52.599981,-7.308259,185
PRESENTATION PRIMARY SCHOOL,53.348305,-6.271782,145
SCOIL URSULA,51.895923,-8.414098,174
SCOIL BARR DUBH,52.059299,-9.335746,96
ROCKCORRY N S,54.117154,-7.01491,36
S N CILL CUILE,53.200975,-8.456656,103
S N CILL RONAIN,54.050164,-8.13651,48
DOOHAMLET N S,54.129144,-6.830666,149
BLESSINGTON 1 N S,53.17927,-6.542311,201
BOOTERSTOWN BOYS,53.308969,-6.198936,227
ATHY MODEL SCHOOL,53.002935,-6.985429,87
SN MHAOLCHEADAIR,52.186157,-10.357885,32
FREEMOUNT MIXED N S,52.278039,-8.884613,96
VICARSTOWN MIXED N S,51.954662,-8.656477,150
S N AN TSAILEAIN,53.524971,-8.939374,90
KILDIMO NATIONAL SCHOOL,52.621213,-8.811608,145
KNOCKEA NATIONAL SCHOOL,52.606126,-8.572295,201
DROMIN N S,53.844333,-6.444637,97
Ringville National School,52.298764,-7.034065,47
KILADANGAN N S,52.930737,-8.238889,131
LISRONAGH N S,52.417601,-7.704111,95
GARRACLOON N S,54.092043,-9.235322,12
ST JOHNS CONVENT,52.661927,-8.616439,220
CLONROCHE N S,52.447488,-6.724676,93
St Patrick's NS,54.123571,-7.769105,48
BALLYCLOUGH MIXED N S,52.166905,-8.735937,108
CULLENS N S,54.138022,-9.163805,241
S N NAOMH FEICHIN,53.540254,-9.215286,59
S N LOCH GUIR,52.50527,-8.507644,19
KILLYON N S,53.486024,-7.002434,78
MONREAGH N S,54.956387,-7.457187,52
ST JOSEPHS GIRLS N.S.,53.113072,-7.318916,231
S N SEOSAMH,53.221692,-7.580618,97
BANOGUE NATIONAL SCHOOL,52.480836,-8.707957,96
CLOGHROE MIXED N S,51.917762,-8.616287,515
CULLEN N S,52.511589,-8.27784,16
Ravenswell Primary School,53.208898,-6.109568,496
HOLY FAMILY SNR,52.841871,-8.981315,299
GLENGURT N S,52.362721,-9.163501,111
S N SCEICHIN A RINCE,52.306932,-8.149053,37
BALLINTUBBER N S,53.758421,-9.304412,107
BALLYCURRANE N S,52.008611,-7.772178,45
St Josephs National School,52.938271,-7.633928,92
SCOIL MHUIRE GAN SMAL,53.521722,-8.327048,78
BROWNEKNOWE N S,55.06053,-7.621686,51
KILMOGANNY MIXED N S,52.461842,-7.325871,21
S N CNOC AN MHARCAIGH,53.762024,-7.784799,283
GOLDENBRIDGE CONVENT,53.336676,-6.319091,199
BALLINDERREEN MXD N S,53.185033,-8.909894,184
S N AN IORBALL RIABAIGH,55.33606,-7.287818,45
ST FINTANS N S,52.99852,-7.479787,106
ST JOSEPH'S GIRLS NATIONAL SCHOOL,51.626339,-8.880393,210
ST PETERS N S SNR,53.421671,-7.942646,141
VILLIERSTOWN N S,52.088071,-7.846274,27
MONAGHAN MODEL SCHOOL,54.251022,-6.972297,182
CHURCHTOWN N S,53.009564,-7.051474,51
KILGOBNET N S,52.065434,-9.729365,78
S N AILBHE,52.613804,-8.436944,189
BALLYSTEEN N S,52.646784,-8.951855,24
S N OSMANN,53.100375,-7.914373,84
SCOIL NAOMH CARTHACH,52.194642,-9.637305,25
TANG N S,53.534674,-7.793029,133
ST LAURENCES NATIONAL SCHOOL,53.248368,-6.661504,661
S N PHADRAIG,53.532997,-7.169682,77
S N MHUIRE,54.190883,-7.705736,66
Scoil an Ghleanna Scoil Náisiúnta Phobail,51.843473,-10.327301,22
ST SENANS NATIONAL SCH,52.504538,-6.55666,432
SCOIL NAOMH MICHEAL,51.83845,-9.904906,58
HOLY TRINITY NATIONAL SCHOOL,53.80156,-9.521351,60
BOHERMORE N S,52.611035,-8.525214,69
GORTANUMERA N S,53.112473,-8.287508,55
MASTERSONS N S,54.305023,-8.172624,21
S N RATH DUBH,52.013761,-8.594514,209
ARDPATRICK N S,52.343471,-8.51892,46
SCOIL NAOMH SEOSAMH,51.552668,-9.26041,191
SN Tullach Ui Chadhain,53.379979,-9.152366,61
S N CRUABANAI,53.965353,-7.321645,182
ST CLARES PRIMARY SCHOOL,53.991756,-7.356983,545
IOMAIR N S,53.167566,-8.296553,124
LAURAGH NATIONAL SCHOOL,51.764013,-9.77735,28
BRUREE NATIONAL SCHOOL,52.422974,-8.649551,179
THE HUNT N S,53.922596,-7.865153,34
S N MUIRE GAN SMAL,51.946283,-10.121557,36
LISSIVIGEEN MXD N S,52.051329,-9.459004,288
KILCORNEY MIXED N S,52.061959,-8.962352,28
St. Nicholas Church of Ireland School,52.568032,-8.785149,54
MILLTOWN N S,54.064373,-7.475239,174
CASTLEALACK N S,51.780319,-8.739433,54
ROCKFIELD N S,54.483158,-8.119278,46
Newtownwhite Educate Together NS,54.187006,-9.179445,50
S N AN BHAIN MHOIR,53.376379,-8.942368,122
CARNANE MXD N S,52.57123,-8.581243,36
OUR LADY OF MERCY N S,51.678995,-9.443704,215
SHIELBEGGAN CONVENT,52.258044,-6.874967,29
SCOIL MHUIRE,54.216346,-7.111592,108
BOHER N S,52.802041,-8.367657,119
GEASHILL 1 N S,53.234412,-7.322467,124
CASTLEDRUM N S,52.174254,-9.771852,107
BALLINLOUGH N S,53.732018,-7.028551,60
S N LIOS TEILIC,52.298223,-9.694381,197
OUR LADYS ABBEY,52.565366,-8.788538,151
GLENFLESK N S,52.018966,-9.382372,35
RAHEEN NATIONAL SCHOOL,52.087434,-9.366131,34
CROOM NATIONAL SCHOOL,52.520942,-8.713301,167
SCOIL NAIS MHUIRE,52.65815,-6.839952,64
NEWTOWNGORE N S,54.036794,-7.681095,26
ROCKMOUNT MIXED N S,52.868725,-9.347281,31
MONAGEA NATIONAL SCHOOL,52.417768,-9.088059,221
ST LAURENCES N S,53.020958,-6.804667,268
RINEEN N S,52.890812,-9.388978,41
ST JOSEPHS PRIMARY SCHOOL,52.479374,-8.162348,173
BALSCADDEN N S,53.615278,-6.232177,198
BALLINADEE N S,51.713776,-8.626737,105
BURROW N S,53.39129,-6.100285,204
ST FRANCIS NS,54.684424,-8.032759,167
KILLEENDUFF N S,54.27474,-8.923694,17
ST JAMES N S,52.554023,-8.928924,122
KNOCKNAGOSHEL NATIONAL SCHOOL,52.331117,-9.381625,39
GLENMAQUIN N S,54.904876,-7.666031,19
ST JOSEPHS BOYS N S,53.30966,-6.282053,406
