"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Median Price","2024 December","All Dwelling Statuses","V23: Caherciveen","Executions","All Buyer Types","Euro","336250"
"Median Price","2024 December","All Dwelling Statuses","V31: Listowel","Executions","All Buyer Types","Euro","295000"
"Median Price","2024 December","All Dwelling Statuses","V35: Kilmallock","Executions","All Buyer Types","Euro","330000"
"Median Price","2024 December","All Dwelling Statuses","V42: Newcastle West","Executions","All Buyer Types","Euro","235000"
"Median Price","2024 December","All Dwelling Statuses","V92: Tralee","Executions","All Buyer Types","Euro","296000"
"Median Price","2024 December","All Dwelling Statuses","V93: Killarney","Executions","All Buyer Types","Euro","310000"
"Median Price","2024 December","All Dwelling Statuses","V94: Limerick","Executions","All Buyer Types","Euro","372250"
"Median Price","2024 December","All Dwelling Statuses","V95: Ennis","Executions","All Buyer Types","Euro","300000"
"Median Price","2024 December","All Dwelling Statuses","W12: Newbridge","Executions","All Buyer Types","Euro","432163"
"Median Price","2024 December","All Dwelling Statuses","W23: Celbridge","Executions","All Buyer Types","Euro","479999"
"Median Price","2024 December","All Dwelling Statuses","W34: Monasterevin","Executions","All Buyer Types","Euro","237500"
"Median Price","2024 December","All Dwelling Statuses","W91: Naas","Executions","All Buyer Types","Euro","445000"
"Median Price","2024 December","All Dwelling Statuses","X35: Dungarvan","Executions","All Buyer Types","Euro","225000"
"Median Price","2024 December","All Dwelling Statuses","X42: Kilmacthomas","Executions","All Buyer Types","Euro","287500"
"Median Price","2024 December","All Dwelling Statuses","X91: Waterford","Executions","All Buyer Types","Euro","266000"
"Median Price","2024 December","All Dwelling Statuses","Y14: Arklow","Executions","All Buyer Types","Euro","316250"
"Median Price","2024 December","All Dwelling Statuses","Y21: Enniscorthy","Executions","All Buyer Types","Euro","260000"
"Median Price","2024 December","All Dwelling Statuses","Y25: Gorey","Executions","All Buyer Types","Euro","347042"
"Median Price","2024 December","All Dwelling Statuses","Y34: New Ross","Executions","All Buyer Types","Euro","219000"
"Median Price","2024 December","All Dwelling Statuses","Y35: Wexford","Executions","All Buyer Types","Euro","322500"
