"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Mean Sale Price","2024 December","All Dwelling Statuses","F12: Claremorris","Executions","All Buyer Types","Euro","215967"
"Mean Sale Price","2024 December","All Dwelling Statuses","F23: Castlebar","Executions","All Buyer Types","Euro","269346"
"Mean Sale Price","2024 December","All Dwelling Statuses","F26: Ballina","Executions","All Buyer Types","Euro","201710"
"Mean Sale Price","2024 December","All Dwelling Statuses","F28: Westport","Executions","All Buyer Types","Euro","323969"
"Mean Sale Price","2024 December","All Dwelling Statuses","F31: Ballinrobe","Executions","All Buyer Types","Euro","202400"
"Mean Sale Price","2024 December","All Dwelling Statuses","F35: Ballyhaunis","Executions","All Buyer Types","Euro","138188"
"Mean Sale Price","2024 December","All Dwelling Statuses","F42: Roscommon","Executions","All Buyer Types","Euro","253945"
"Mean Sale Price","2024 December","All Dwelling Statuses","F45: Castlerea","Executions","All Buyer Types","Euro","178143"
"Mean Sale Price","2024 December","All Dwelling Statuses","F52: Boyle","Executions","All Buyer Types","Euro","185000"
"Mean Sale Price","2024 December","All Dwelling Statuses","F56: Ballymote","Executions","All Buyer Types","Euro","142924"
"Mean Sale Price","2024 December","All Dwelling Statuses","F91: Sligo","Executions","All Buyer Types","Euro","247245"
"Mean Sale Price","2024 December","All Dwelling Statuses","F92: Letterkenny","Executions","All Buyer Types","Euro","237982"
"Mean Sale Price","2024 December","All Dwelling Statuses","F93: Lifford","Executions","All Buyer Types","Euro","196555"
"Mean Sale Price","2024 December","All Dwelling Statuses","F94: Donegal","Executions","All Buyer Types","Euro","210913"
"Mean Sale Price","2024 December","All Dwelling Statuses","H12: Cavan","Executions","All Buyer Types","Euro","243406"
"Mean Sale Price","2024 December","All Dwelling Statuses","H14: Belturbet","Executions","All Buyer Types","Euro","272167"
"Mean Sale Price","2024 December","All Dwelling Statuses","H16: Cootehill","Executions","All Buyer Types","Euro","181333"
"Mean Sale Price","2024 December","All Dwelling Statuses","H18: Monaghan","Executions","All Buyer Types","Euro","272610"
"Mean Sale Price","2024 December","All Dwelling Statuses","H23: Clones","Executions","All Buyer Types","Euro","159000"
"Mean Sale Price","2024 December","All Dwelling Statuses","H53: Ballinasloe","Executions","All Buyer Types","Euro","267688"
"Mean Sale Price","2024 December","All Dwelling Statuses","H54: Tuam","Executions","All Buyer Types","Euro","276923"
"Mean Sale Price","2024 December","All Dwelling Statuses","H62: Loughrea","Executions","All Buyer Types","Euro","299800"
"Mean Sale Price","2024 December","All Dwelling Statuses","H65: Athenry","Executions","All Buyer Types","Euro","380167"
"Mean Sale Price","2024 December","All Dwelling Statuses","H71: Clifden","Executions","All Buyer Types","Euro",""
"Mean Sale Price","2024 December","All Dwelling Statuses","H91: Galway","Executions","All Buyer Types","Euro","376779"
"Mean Sale Price","2024 December","All Dwelling Statuses","K32: Balbriggan","Executions","All Buyer Types","Euro","391419"
"Mean Sale Price","2024 December","All Dwelling Statuses","K34: Skerries","Executions","All Buyer Types","Euro","867897"
"Mean Sale Price","2024 December","All Dwelling Statuses","K36: Malahide","Executions","All Buyer Types","Euro","542521"
"Mean Sale Price","2024 December","All Dwelling Statuses","K45: Lusk","Executions","All Buyer Types","Euro","388667"
"Mean Sale Price","2024 December","All Dwelling Statuses","K56: Rush","Executions","All Buyer Types","Euro","387644"
"Mean Sale Price","2024 December","All Dwelling Statuses","K67: Swords","Executions","All Buyer Types","Euro","419099"
"Mean Sale Price","2024 December","All Dwelling Statuses","K78: Lucan","Executions","All Buyer Types","Euro","485092"
"Mean Sale Price","2024 December","All Dwelling Statuses","N37: Athlone","Executions","All Buyer Types","Euro","308605"
"Mean Sale Price","2024 December","All Dwelling Statuses","N39: Longford","Executions","All Buyer Types","Euro","194332"
"Mean Sale Price","2024 December","All Dwelling Statuses","N41: Carrick-on-Shannon","Executions","All Buyer Types","Euro","250425"
"Mean Sale Price","2024 December","All Dwelling Statuses","N91: Mullingar","Executions","All Buyer Types","Euro","301859"
"Mean Sale Price","2024 December","All Dwelling Statuses","P12: Macroom","Executions","All Buyer Types","Euro","424379"
"Mean Sale Price","2024 December","All Dwelling Statuses","P14: Crookstown","Executions","All Buyer Types","Euro","496600"
"Mean Sale Price","2024 December","All Dwelling Statuses","P17: Kinsale","Executions","All Buyer Types","Euro","467063"
"Mean Sale Price","2024 December","All Dwelling Statuses","P24: Cobh","Executions","All Buyer Types","Euro","350944"
"Mean Sale Price","2024 December","All Dwelling Statuses","P25: Midleton","Executions","All Buyer Types","Euro","361639"
"Mean Sale Price","2024 December","All Dwelling Statuses","P31: Ballincollig","Executions","All Buyer Types","Euro","392313"
"Mean Sale Price","2024 December","All Dwelling Statuses","P32: Rylane","Executions","All Buyer Types","Euro","330000"
"Mean Sale Price","2024 December","All Dwelling Statuses","P36: Youghal","Executions","All Buyer Types","Euro","256400"
"Mean Sale Price","2024 December","All Dwelling Statuses","P43: Carrigaline","Executions","All Buyer Types","Euro","405407"
"Mean Sale Price","2024 December","All Dwelling Statuses","P47: Dunmanway","Executions","All Buyer Types","Euro","347750"
"Mean Sale Price","2024 December","All Dwelling Statuses","P51: Mallow","Executions","All Buyer Types","Euro","237800"
"Mean Sale Price","2024 December","All Dwelling Statuses","P56: Charleville","Executions","All Buyer Types","Euro","225000"
"Mean Sale Price","2024 December","All Dwelling Statuses","P61: Fermoy","Executions","All Buyer Types","Euro","339401"
"Mean Sale Price","2024 December","All Dwelling Statuses","P67: Mitchelstown","Executions","All Buyer Types","Euro","309813"
"Mean Sale Price","2024 December","All Dwelling Statuses","P72: Bandon","Executions","All Buyer Types","Euro","384116"
"Mean Sale Price","2024 December","All Dwelling Statuses","P75: Bantry","Executions","All Buyer Types","Euro","273636"
"Mean Sale Price","2024 December","All Dwelling Statuses","P81: Skibbereen","Executions","All Buyer Types","Euro","297333"
"Mean Sale Price","2024 December","All Dwelling Statuses","P85: Clonakilty","Executions","All Buyer Types","Euro","370247"
"Mean Sale Price","2024 December","All Dwelling Statuses","R14: Athy","Executions","All Buyer Types","Euro","290545"
"Mean Sale Price","2024 December","All Dwelling Statuses","R21: Mhuine Bheag","Executions","All Buyer Types","Euro","225000"
"Mean Sale Price","2024 December","All Dwelling Statuses","R32: Portlaoise","Executions","All Buyer Types","Euro","298358"
"Mean Sale Price","2024 December","All Dwelling Statuses","R35: Tullamore","Executions","All Buyer Types","Euro","284704"
"Mean Sale Price","2024 December","All Dwelling Statuses","R42: Birr","Executions","All Buyer Types","Euro","256455"
"Mean Sale Price","2024 December","All Dwelling Statuses","R45: Edenderry","Executions","All Buyer Types","Euro","286608"
"Mean Sale Price","2024 December","All Dwelling Statuses","R51: Kildare","Executions","All Buyer Types","Euro","393687"
"Mean Sale Price","2024 December","All Dwelling Statuses","R56: Curragh","Executions","All Buyer Types","Euro","383217"
"Mean Sale Price","2024 December","All Dwelling Statuses","R93: Carlow","Executions","All Buyer Types","Euro","269932"
"Mean Sale Price","2024 December","All Dwelling Statuses","R95: Kilkenny","Executions","All Buyer Types","Euro","368729"
"Mean Sale Price","2024 December","All Dwelling Statuses","T12: Cork Southside","Executions","All Buyer Types","Euro","446838"
"Mean Sale Price","2024 December","All Dwelling Statuses","T23: Cork Northside","Executions","All Buyer Types","Euro","334817"
"Mean Sale Price","2024 December","All Dwelling Statuses","T34: Carrignavar","Executions","All Buyer Types","Euro",""
"Mean Sale Price","2024 December","All Dwelling Statuses","T45: Glanmire","Executions","All Buyer Types","Euro","379755"
"Mean Sale Price","2024 December","All Dwelling Statuses","T56: Watergrasshill","Executions","All Buyer Types","Euro","462791"
"Mean Sale Price","2024 December","All Dwelling Statuses","V14: Shannon","Executions","All Buyer Types","Euro","320000"
"Mean Sale Price","2024 December","All Dwelling Statuses","V15: Kilrush","Executions","All Buyer Types","Euro","197431"
"Mean Sale Price","2024 December","All Dwelling Statuses","V23: Caherciveen","Executions","All Buyer Types","Euro","331000"
"Mean Sale Price","2024 December","All Dwelling Statuses","V31: Listowel","Executions","All Buyer Types","Euro","331429"
"Mean Sale Price","2024 December","All Dwelling Statuses","V35: Kilmallock","Executions","All Buyer Types","Euro","307600"
"Mean Sale Price","2024 December","All Dwelling Statuses","V42: Newcastle West","Executions","All Buyer Types","Euro","244014"
"Mean Sale Price","2024 December","All Dwelling Statuses","V92: Tralee","Executions","All Buyer Types","Euro","305152"
"Mean Sale Price","2024 December","All Dwelling Statuses","V93: Killarney","Executions","All Buyer Types","Euro","386329"
"Mean Sale Price","2024 December","All Dwelling Statuses","V94: Limerick","Executions","All Buyer Types","Euro","370719"
"Mean Sale Price","2024 December","All Dwelling Statuses","V95: Ennis","Executions","All Buyer Types","Euro","308306"
"Mean Sale Price","2024 December","All Dwelling Statuses","W12: Newbridge","Executions","All Buyer Types","Euro","428870"
"Mean Sale Price","2024 December","All Dwelling Statuses","W23: Celbridge","Executions","All Buyer Types","Euro","473282"
"Mean Sale Price","2024 December","All Dwelling Statuses","W34: Monasterevin","Executions","All Buyer Types","Euro","237500"
"Mean Sale Price","2024 December","All Dwelling Statuses","W91: Naas","Executions","All Buyer Types","Euro","445671"
"Mean Sale Price","2024 December","All Dwelling Statuses","X35: Dungarvan","Executions","All Buyer Types","Euro","268857"
"Mean Sale Price","2024 December","All Dwelling Statuses","X42: Kilmacthomas","Executions","All Buyer Types","Euro","287500"
"Mean Sale Price","2024 December","All Dwelling Statuses","X91: Waterford","Executions","All Buyer Types","Euro","276537"
"Mean Sale Price","2024 December","All Dwelling Statuses","Y14: Arklow","Executions","All Buyer Types","Euro","352071"
"Mean Sale Price","2024 December","All Dwelling Statuses","Y21: Enniscorthy","Executions","All Buyer Types","Euro","285452"
"Mean Sale Price","2024 December","All Dwelling Statuses","Y25: Gorey","Executions","All Buyer Types","Euro","353070"
"Mean Sale Price","2024 December","All Dwelling Statuses","Y34: New Ross","Executions","All Buyer Types","Euro","224595"
"Mean Sale Price","2024 December","All Dwelling Statuses","Y35: Wexford","Executions","All Buyer Types","Euro","300146"
"Median Price","2024 December","All Dwelling Statuses","All","Executions","All Buyer Types","Euro","370000"
"Median Price","2024 December","All Dwelling Statuses","A41: Ballyboughal","Executions","All Buyer Types","Euro","600000"
"Median Price","2024 December","All Dwelling Statuses","A42: Garristown","Executions","All Buyer Types","Euro",""
"Median Price","2024 December","All Dwelling Statuses","A45: Oldtown","Executions","All Buyer Types","Euro",""
"Median Price","2024 December","All Dwelling Statuses","A63: Greystones","Executions","All Buyer Types","Euro","485000"
"Median Price","2024 December","All Dwelling Statuses","A67: Wicklow","Executions","All Buyer Types","Euro","440000"
"Median Price","2024 December","All Dwelling Statuses","A75: Castleblaney","Executions","All Buyer Types","Euro","228500"
"Median Price","2024 December","All Dwelling Statuses","A81: Carrickmacross","Executions","All Buyer Types","Euro","220000"
"Median Price","2024 December","All Dwelling Statuses","A82: Kells","Executions","All Buyer Types","Euro","275000"
"Median Price","2024 December","All Dwelling Statuses","A83: Enfield","Executions","All Buyer Types","Euro","408625"
"Median Price","2024 December","All Dwelling Statuses","A84: Ashbourne","Executions","All Buyer Types","Euro","251000"
"Median Price","2024 December","All Dwelling Statuses","A85: Dunshaughlin","Executions","All Buyer Types","Euro","449999"
"Median Price","2024 December","All Dwelling Statuses","A86: Dunboyne","Executions","All Buyer Types","Euro","475000"
"Median Price","2024 December","All Dwelling Statuses","A91: Dundalk","Executions","All Buyer Types","Euro","335000"
"Median Price","2024 December","All Dwelling Statuses","A92: Drogheda","Executions","All Buyer Types","Euro","372499"
"Median Price","2024 December","All Dwelling Statuses","A94: Blackrock","Executions","All Buyer Types","Euro","852000"
